Yorum,Duygu,Kategori,Örnek Yanıt
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Negatif,Genel,"Sayın Misafirimiz, otelimizde gerçekleştirdiğiniz konaklamaya yönelik değerli geri bildiriminiz için teşekkür ederiz. Hizmet kalitemizi her geçen gün daha da artırmak ve sizlere her zaman en iyi deneyimi sunabilmek adına paylaştığınız görüşleri titizlikle değerlendireceğiz. Sizleri gelecekte beklentilerinizin çok daha üzerinde bir konaklama deneyimiyle tekrar ağırlamaktan mutluluk duyacağız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Değerli Misafirimiz, otelimizde gerçekleştirdiğiniz konaklamadan memnun kalmanıza ve ekibimizin gösterdiği ilgiyi bu şekilde taçlandırmanıza çok mutlu olduk. Nazik geri bildiriminiz ve değerli tavsiyeniz için tüm çalışma arkadaşlarımız adına teşekkür ederiz. Sizleri en kısa sürede otelimizde yeniden ağırlamaktan büyük memnuniyet duyacağız."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Negatif,Genel,"Sayın Misafirimiz, otelimiz hakkındaki değerli geri bildiriminiz için teşekkür ederiz. Hizmet kalitemizi her geçen gün artırmak adına görüşleriniz doğrultusunda gerekli geliştirmeleri yapacağımızı belirtmek isteriz. Bir sonraki konaklamanızda beklentilerinizin üzerinde bir deneyim sunabilmek ve sizleri otelimizde yeniden ağırlayabilmek dileğiyle."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Değerli Misafirimiz, otelimizde geçirdiğiniz sürenin harika bir deneyime dönüşmesinden ve ekibimizin gösterdiği ilgiden memnun kalmanızdan büyük mutluluk duyduk. Değerli tavsiyeniz ve bu nazik geri bildiriminiz için tüm çalışma arkadaşlarımız adına teşekkür ederiz. Sizleri en kısa sürede otelimizde tekrar ağırlamaktan onur duyacağız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, otelimizde gerçekleştirdiğiniz konaklamanız süresince sizleri memnun edememiş olmaktan dolayı derin bir üzüntü duyuyoruz. Yemek kalitesi ve oda temizliği konularındaki hassas geri bildirimleriniz ilgili departman yöneticilerimize iletilmiş ve gerekli aksiyonlar ivedilikle alınmıştır. Sizlere gelecekte standartlarımıza yakışır bir hizmet sunabilmek adına otelimizde sizi yeniden ağırlamaktan memnuniyet duyarız."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Negatif,Genel,"Sayın Misafirimiz, değerli vaktinizi ayırarak konaklamanız hakkındaki geri bildirimlerinizi paylaştığınız için teşekkür ederiz. Beklentilerinizi daha üst seviyede karşılayabilmek ve sunduğumuz fiyat-performans dengesini sizler için daha memnuniyet verici hale getirmek adına hizmetlerimizi sürekli olarak gözden geçirmekteyiz. Sizleri gelecekte otelimizde yeniden ağırlayarak çok daha mükemmel bir deneyim sunmayı ümit ederiz."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Değerli Misafirimiz, otelimizde gerçekleştirdiğiniz konaklamanın harika bir deneyimle sonuçlanmasından ve ekibimizin yakın ilgisinden memnun kalmanızdan büyük mutluluk duyduk. Sizlerin bu değerli geri bildirimleri, tüm çalışma arkadaşlarımız için en büyük motivasyon kaynağı olmaktadır. En yakın zamanda sizleri otelimizde yeniden ağırlamaktan onur duyacağız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, otelimizde gerçekleştirdiğiniz konaklama deneyiminiz sırasında beklentilerinizi karşılayamadığımız için derin bir üzüntü duyuyoruz. Yemeklerimizin servis sıcaklığı ve oda temizliği standartlarımızla ilgili belirttiğiniz hususlar, gerekli aksiyonların hızla alınması adına ilgili departman müdürlerimize iletilmiştir. Sizlere gelecekte hak ettiğiniz kalitede bir hizmet sunabilmek ve kendimizi affettirebilmek adına sizleri otelimizde yeniden ağırlamayı ümit ederiz."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, tesisimizde gerçekleştirdiğiniz konaklama sürecinde beklentilerinizi karşılayamadığımız ve sizleri hayal kırıklığına uğrattığımız için derin bir üzüntü duyuyoruz. Geri bildiriminiz doğrultusunda oda temizliği ve yemek sıcaklığı standartlarımızla ilgili gerekli denetimler ve düzeltici aksiyonlar ilgili departman müdürlerimiz tarafından ivedilikle başlatılmıştır. Sizleri gelecekte tekrar ağırlayarak bu olumsuz deneyimi telafi etmeyi ve sizlere hak ettiğiniz kalitede bir hizmet sunmayı çok isteriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Değerli Misafirimiz, konaklamanız hakkındaki geri bildiriminiz ve fiyat/performans değerlendirmeniz için teşekkür ederiz. Hizmet kalitemizi her geçen gün daha da yukarı taşımak adına paylaşımlarınızın bizler için yol gösterici olduğunu belirtmek isteriz. Sizleri gelecekte beklentilerinizin çok daha üzerinde bir deneyimle otelimizde yeniden ağırlamaktan memnuniyet duyacağız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın misafirimiz, değerli vaktinizi ayırıp harika geri bildiriminizi bizlerle paylaştığınız için içtenlikle teşekkür ederiz. Personelimizin ilgisinden ve otelimizde geçirdiğiniz konaklama deneyiminden memnun kalmış olmanız bizleri son derece gururlandırdı. Sizleri en kısa sürede yeniden otelimizde ağırlamaktan büyük mutluluk duyacağız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimlerden dolayı içtenlikle özür dileriz. Yemek kalitesi ve oda hijyeni konularındaki geri bildirimleriniz ilgili departman müdürlerimize iletilmiş olup, gerekli aksiyonlar derhal alınmıştır. Sizleri gelecekte tekrar ağırlayarak telafi etme fırsatına sahip olmayı temenni ederiz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, otelimizde gerçekleştirdiğiniz konaklamanıza ilişkin değerli değerlendirmeleriniz için teşekkür ederiz. Hizmet ve deneyim kalitemizi her geçen gün artırmak adına görüşlerinizin bizler için çok kıymetli olduğunu belirtmek isteriz. Sizleri bir sonraki ziyaretinizde beklentilerinizin üzerinde bir konaklama deneyimiyle yeniden ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın misafirimiz, otelimizde gerçekleştirdiğiniz konaklamadan memnun kaldığınızı ve ekibimizin ilgisinden mutluluk duyduğunuzu belirtmeniz bizleri çok gururlandırdı. Değerli yorumunuz ve içten tavsiyeniz için çok teşekkür ederiz. Sizleri en kısa sürede yeniden otelimizde ağırlamaktan büyük onur duyacağız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler nedeniyle derin üzüntü duyduğumuzu belirtmek isteriz. Yemeklerimizin sıcaklığı ve oda temizliği standartlarımızla ilgili ilettiğiniz hususlar, ilgili departman müdürlerimize iletilmiş olup gerekli aksiyonlar derhal alınmıştır. Sizleri tekrar ağırlayarak bu olumsuz izlenimi telafi edebilmeyi umuyoruz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın misafirimiz, otelimizdeki konaklamanıza ilişkin değerli görüşlerinizi bizimle paylaştığınız için teşekkür ederiz. Hizmet kalitemizi ve misafir deneyimimizi sürekli geliştirmek adına geri bildirimlerinizi dikkatle inceleyeceğimizden emin olabilirsiniz. Sizleri gelecekte beklentilerinizin çok daha üzerinde bir konaklama deneyimiyle yeniden ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, değerli vaktinizi ayırıp bu harika geri bildirimi paylaştığınız için içtenlikle teşekkür ederiz. Ekibimizin ilgisinden ve otelimizde geçirdiğiniz süreden memnun kalmış olmanız bizleri son derece gururlandırdı. Sizleri en kısa sürede yeniden otelimizde ağırlamaktan büyük mutluluk duyacağız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, otelimizde gerçekleştirdiğiniz konaklama sırasında beklentilerinizi karşılayamamış olmaktan ve yaşadığınız olumsuzluklardan dolayı derin üzüntü duyuyoruz. Yemek kalitesi ve oda temizliği ile ilgili dile getirdiğiniz hususlar ilgili departman müdürlerimize iletilmiş olup, gerekli aksiyonlar derhal alınmıştır. Değerli geri bildiriminiz için teşekkür eder, sizlere hak ettiğiniz kalitede bir tatil deneyimi sunabilmek adına sizleri yeniden ağırlamayı dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Negatif,Genel,"Sayın misafirimiz, vakit ayırıp otelimiz hakkındaki deneyimlerinizi bizimle paylaştığınız için teşekkür ederiz. Hizmet kalitemizi ve sunduğumuz deneyimi her geçen gün geliştirmek adına geri bildirimleriniz yönetim ekibimiz tarafından dikkatle değerlendirilmektedir. Sizleri gelecekte otelimizde yeniden ağırlayarak beklentilerinizin çok daha ötesinde bir konaklama yaşatmayı temenni ederiz."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, otelimizde gerçekleştirdiğiniz konaklamanıza ilişkin bu değerli ve motive edici geri bildiriminiz için çok teşekkür ederiz. Ekibimizin ilgisinden ve sunduğumuz hizmet kalitesinden memnun kaldığınızı görmek bizleri son derece mutlu etti. Sizleri en kısa sürede yeniden otelimizde ağırlamaktan onur duyarız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın misafirimiz, konaklamanız sırasında karşılaştığınız olumsuz deneyimler nedeniyle derin üzüntü duyduğumuzu belirtmek isteriz. Yemek ve temizlik standartlarımızla ilgili geri bildirimleriniz, hizmet kalitemizi artırmak adına ilgili departman yöneticilerimiz tarafından derhal incelemeye alınmıştır. Yaşattığımız aksaklıkları telafi edebilmek ve beklentilerinize uygun bir hizmet sunabilmek adına sizleri gelecekte otelimizde yeniden ağırlamaktan memnuniyet duyarız."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın misafirimiz, otelimizde gerçekleştirdiğiniz konaklamaya ilişkin değerli değerlendirmeleriniz için teşekkür ederiz. Hizmet standartlarımızı ve misafir memnuniyetini her geçen gün daha da yukarıya taşımak adına görüşlerinizin bizim için çok kıymetli olduğunu belirtmek isteriz. Sizleri gelecekte beklentilerinizin çok daha ötesinde bir deneyimle yeniden ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın misafirimiz, otelimizde gerçekleştirdiğiniz konaklamaya dair bu harika geri bildiriminiz için içtenlikle teşekkür ederiz. Personelimizin ilgisinden memnun kalmış olmanız ve tesisimizi tavsiye etmeniz tüm ekibimizi gururlandırdı. Sizleri en kısa sürede otelimizde yeniden ağırlamaktan büyük mutluluk duyacağız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yemek kalitesi ve oda temizliği hususlarında yaşadığınız olumsuz deneyimler nedeniyle derin üzüntü duyuyoruz. Geri bildirimleriniz ilgili departman müdürlerimize iletilmiş olup, standartlarımızın sağlanması adına gerekli düzeltici aksiyonlar derhal başlatılmıştır. Yaşanan bu durumu telafi edebilmek ve sizlere hak ettiğiniz kalitede bir hizmet sunabilmek adına bizimle iletişime geçmenizi rica ederiz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, değerli zamanınızı ayırarak otelimiz hakkındaki değerlendirmelerinizi paylaştığınız için teşekkür ederiz. Hizmet kalitemizi ve fiyat-performans dengemizi her geçen gün daha da geliştirmek adına geri bildiriminiz ilgili departmanlarımızla paylaşılmıştır. Sizleri bir sonraki konaklamanızda beklentilerinizin çok daha üzerinde bir deneyimle ağırlamaktan mutluluk duyacağız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın misafirimiz, değerli vaktinizi ayırıp geri bildiriminizi bizlerle paylaştığınız için teşekkür ederiz. Konaklamanız sırasında yemek kalitesi ve oda temizliği konularında yaşadığınız olumsuz deneyimler nedeniyle derin üzüntü duyduğumuzu belirtmek isteriz. İlettiğiniz hususlar ilgili departman müdürlerimize aktarılmış olup, hizmet standartlarımızın iyileştirilmesi adına gerekli aksiyonlar derhal alınmıştır."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın misafirimiz, otelimizde gerçekleştirdiğiniz konaklamanıza ilişkin değerli görüşlerinizi bizimle paylaştığınız için teşekkür ederiz. Hizmet kalitemizi ve misafir memnuniyetini her zaman daha üst seviyelere taşımak amacıyla geri bildirimlerinizi dikkatle değerlendirmekteyiz. Bir sonraki ziyaretinizde beklentilerinizin çok daha üzerinde bir konaklama deneyimi sunabilmek dileğiyle, sizleri yeniden ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın misafirimiz, değerli vaktinizi ayırıp bu harika geri bildirimi bizimle paylaştığınız için içtenlikle teşekkür ederiz. Personelimizin ilgisinden ve otelimizde yaşadığınız deneyimden memnun kalmanız bizleri ziyadesiyle mutlu etti. Sizleri en kısa sürede yeniden tesisimizde ağırlamaktan büyük onur duyarız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,"Yemek, Temizlik","Sayın misafirimiz, otelimizde yaşadığınız olumsuz deneyim ve ilettiğiniz geri bildirimler için derin üzüntü duyduğumuzu belirtmek isteriz. Bahsettiğiniz hijyen ve yemek sıcaklığı konularındaki aksaklıklar standartlarımıza kesinlikle uymamakta olup, ilgili departman müdürlerimizle derhal inceleme başlatılmıştır. Yaşanan bu durumu telafi edebilmek ve sizlere daha iyi bir hizmet sunabilmek adına detayları görüşmek üzere sizinle iletişime geçmek isteriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın misafirimiz, değerli vaktinizi ayırarak konaklama deneyiminizi bizimle paylaştığınız için teşekkür ederiz. Fiyat-performans dengemizden memnun kalmanıza sevinmekle birlikte, beklentilerinizi daha da yukarıya taşıyabilmek adına hizmet kalitemizi sürekli geliştirmeye devam ediyoruz. Sizleri bir sonraki ziyaretinizde daha mükemmel bir deneyimle ağırlamaktan mutluluk duyacağız."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, konaklamanızla ilgili değerli görüşlerinizi paylaştığınız için teşekkür ederiz. Hizmet standartlarımızı daha üst seviyelere taşımak adına geri bildirimleriniz bizler için çok kıymetlidir. Sizleri tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, otelimizde konakladığınız süre boyunca memnuniyet duymuş olmanızdan büyük mutluluk duyuyoruz. Nazik sözleriniz ve personelimize yönelik övgüleriniz için teşekkür eder, sizi tekrar ağırlamayı heyecanla bekleriz."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız boyunca yaşadığınız olumsuz deneyimler için içtenlikle özür dileriz. Yemek ve temizlik standartlarımıza dair geri bildirimleriniz ilgili birimlerimize iletilmiş olup gerekli iyileştirmeler hızla başlatılmıştır. Sizleri gelecekte yeniden ağırlayarak size hak ettiğiniz kaliteli hizmeti sunmayı çok isteriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Negatif,Genel,"Sayın Misafirimiz, konaklamanızla ilgili değerli görüşlerinizi paylaştığınız için teşekkür ederiz. Deneyiminizi mükemmelleştirmek ve size daha üstün bir hizmet sunmak adına geri bildirimlerinizi titizlikle değerlendireceğiz. Sizleri tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın misafirimiz, değerli vaktinizi ayırıp nazik yorumlarınızı paylaştığınız için teşekkür ederiz. Personelimizin ilgisinden memnun kalmış olmanız bizleri çok mutlu etti; sizleri en kısa sürede tekrar ağırlamayı heyecanla bekliyoruz."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için derin üzüntü duyuyoruz. Yemek ve temizlik standartlarımızla ilgili geri bildirimleriniz ilgili birimlerimize iletilmiş olup gerekli iyileştirmeler ivedilikle başlatılmıştır. Sizi gelecekte tekrar ağırlayarak bu durumu telafi etmeyi dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın misafirimiz, konaklamanızla ilgili geri bildiriminiz için teşekkür ederiz. Sizlere daha mükemmel bir deneyim sunabilmek adına görüşlerinizi dikkatle değerlendireceğiz. Sizi tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, nazik sözleriniz ve değerli geri bildiriminiz için içtenlikle teşekkür ederiz. Ekibimizin size sunduğu hizmetten memnun kalmış olmanız bizleri çok mutlu etti; sizi tekrar ağırlamaktan memnuniyet duyacağız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız süresince yaşadığınız olumsuz deneyimler için derin üzüntü duyuyor ve içtenlikle özür diliyoruz. Yemek ve temizlik standartlarımızla ilgili geri bildirimleriniz ilgili departman yöneticilerimize iletilmiş olup gerekli düzeltici faaliyetler başlatılmıştır. Sizleri tekrar ağırlayarak standartlarımızı kanıtlamayı ve bu olumsuzluğu telafi etmeyi çok isteriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, konaklamanız sonrası değerli vaktinizi ayırarak görüşlerinizi paylaştığınız için teşekkür ederiz. Sizlere daha kusursuz bir deneyim sunabilmek adına geri bildirimlerinizi dikkatle değerlendiriyoruz. Sizleri en kısa sürede tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, otelimizde geçirdiğiniz süreden memnun kalmış olmanızdan ve ekibimiz hakkındaki nazik sözlerinizden büyük mutluluk duyduk. Geri bildirimlerinizi ilgili departmanımızla paylaşacağız. Sizleri en kısa sürede tekrar ağırlamak dileğiyle."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için içtenlikle özür dileriz. Belirttiğiniz eksiklikler ilgili departman yöneticilerimize iletilmiş olup gerekli iyileştirmeler ivedilikle başlatılmıştır. Sizleri tekrar ağırlayarak standartlarımızı kanıtlamayı dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, değerli vaktinizi ayırıp görüşlerinizi paylaştığınız için teşekkür ederiz. Konaklamanız süresince fiyat/performans dengesinden memnun kalmış olmanız bizleri mutlu etti. Hizmet kalitemizi daha da yukarı taşımak adına geri bildirimlerinizi dikkatle değerlendirecek, sizi tekrar ağırlamaktan memnuniyet duyacağız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, nazik geri bildiriminiz ve tavsiyeniz için içtenlikle teşekkür ederiz. Personelimizin size sunduğu hizmetten memnun kalmış olmanız bizleri çok mutlu etti. Sizi en kısa sürede tekrar ağırlamaktan memnuniyet duyacağız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler için içtenlikle özür dileriz. Geri bildirimleriniz ilgili departmanlarımıza iletilmiş olup, hizmet kalitemizi artırmak adına gerekli önlemler ivedilikle alınacaktır. Sizi gelecekte tekrar ağırlayarak bu durumu telafi etmeyi dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, değerli vaktinizi ayırıp görüşlerinizi paylaştığınız için teşekkür ederiz. Sizlere daha kusursuz bir deneyim sunabilmek adına geri bildirimlerinizi dikkatle değerlendireceğiz. Sizleri tekrar ağırlamaktan memnuniyet duyarız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, değerli geri bildirimleriniz için teşekkür ederiz. Ekibimizin size sunduğu hizmetten memnun kalmış olmanız bizleri çok mutlu etti; nazik sözlerinizi ilgili personelimizle paylaşacağız. Sizleri tekrar ağırlamayı heyecanla bekliyoruz."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız sırasında yaşadığınız olumsuz deneyimler ve standartlarımızın altında kalan hizmetlerimiz için derin üzüntü duyuyoruz. Yemek ve temizlik konusundaki geri bildirimleriniz ilgili departman yöneticilerimize iletilmiş olup gerekli düzeltici önlemler hızla alınmıştır. Sizleri tekrar ağırlayarak gerçek hizmet kalitemizi kanıtlamayı çok isteriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın misafirimiz, değerli vaktinizi ayırarak görüşlerinizi paylaştığınız için teşekkür ederiz. Sizleri tekrar ağırlamak ve deneyiminizi çok daha üst seviyeye taşımak için sabırsızlanıyoruz."
